ParticipantID,AI_Mean,TC_Mean,PC_Mean,PS_Mean
1,4.2039631621745706,3.8415470511606946,3.52590875947673,4.919665467473158
2,3.688595677001594,3.3071500456395815,4.251721754032597,4.023053716354823
3,3.5312600236043306,3.5590943641028026,2.8387888523185922,3.612089465795971
4,3.980663709253932,2.894981177551075,2.167439885719957,3.562936170356765
5,3.138183160537142,3.1048767689238153,2.6377822691421984,2.8884612647671704
6,4.940552559260752,4.546933817184708,3.018557982711388,3.4947371959871445
7,3.448713264923885,3.285578263717835,2.4378501234531442,4.144406645672641
8,3.3843920244981036,3.0139500402578063,2.855361965063832,4.87603714711059
9,3.848613034516642,3.1252927126419854,3.8049120683617814,2.871485985040712
10,3.9494488198816775,2.827835180276345,2.441605766195635,3.9611251814022044
11,4.4036450112900045,4.2071097800222255,2.9510666317395553,4.016145300699703
12,2.7468304050575663,2.2271977935200935,3.10975993632956,3.9788351004181655
13,4.076270479635018,3.0179941842560916,3.5022047688082254,3.4743417339833975
14,3.3783070145876337,3.4029740933954717,3.8549333129227783,4.159753918987938
15,3.2310101329522585,2.8583242682145213,3.5088439486549965,4.088073487465996
16,3.5103499397414666,3.2305139058148207,2.489096733583734,3.144282062383783
17,4.468617602184576,4.785374062709526,2.8451673858479145,5.01790129759096
18,4.090675493197214,3.509909569809947,3.40723317923001,4.831579658002193
19,3.8326640879912888,4.3223524973782785,1.2384059536240997,5.005557754848591
20,3.9423982182333197,3.5788501313686805,3.2234375075114015,2.658323950989643
21,3.7288551610631835,3.6315467910941956,4.117971144948632,3.3540686796794525
22,3.2631835767367514,2.80119936365485,3.913571272811545,3.569814744379789
23,3.473406560420493,3.462680585055246,3.2243953919463633,4.3766189741564805
24,3.3553114938475406,3.0122285880365958,3.008790143620572,2.765853335624516
25,4.083899219970836,3.942950311664802,3.0801819388130727,3.906568335308945
26,2.825415953326038,2.4601366382630765,3.1461603884325027,2.888945821168784
27,3.7674408797424994,3.673193600344097,4.377759488829891,3.7533426993531998
28,4.026089253428696,3.76463151631378,1.8405623591427056,4.206700742585022
29,3.954629634745598,4.811938790862724,2.7452098780173393,4.527035712696181
30,3.8078458791065546,3.004573783294981,4.034717248949018,4.008714886860622
31,4.446191851205901,3.749670263373177,4.069253232811913,3.046917351146649
32,4.335258828808821,5.072601198998054,2.172800066543284,4.204314048596821
33,3.9034590000668716,3.4478012811153116,2.1522935776843175,4.107938056362057
